market,latitude,longitude,commodity,unit,price,year,month
Arusha (urban),-3.366667,36.683333,Maize,100 KG,54000.0,2012,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,145577.0,2012,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,116154.0,2012,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,53350.0,2012,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,148000.0,2012,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,103750.0,2012,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,54000.0,2012,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,153750.0,2012,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,105625.0,2012,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,56700.0,2012,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,160000.0,2012,10
Arusha (urban),-3.366667,36.683333,Beans,100 KG,114000.0,2012,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,61833.0,2012,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,163333.0,2012,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,122000.0,2012,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,67944.44,2012,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,172500.0,2012,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,116111.11,2012,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,70050.0,2013,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,186500.0,2013,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,126250.0,2013,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,71409.09,2013,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,170909.09,2013,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,96818.18,2013,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,69750.0,2013,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,173750.0,2013,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,105416.5,2013,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,67916.75,2013,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,167500.0,2013,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,120520.75,2013,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,56333.4,2013,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,158000.0,2013,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,117633.2,2013,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,47194.33,2013,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,133889.0,2013,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,112222.33,2013,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,49750.25,2013,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2013,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,110208.5,2013,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,51222.17,2013,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,134166.67,2013,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,110513.83,2013,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50791.75,2013,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2013,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,113958.25,2013,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,52021.0,2013,10
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2013,10
Arusha (urban),-3.366667,36.683333,Beans,100 KG,121833.25,2013,10
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50916.75,2013,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2013,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,126875.0,2013,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,51937.5,2013,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,128333.25,2013,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,136958.25,2013,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50208.25,2014,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2014,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,132500.0,2014,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50250.0,2014,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2014,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,132625.0,2014,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,49750.0,2014,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2014,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,146875.0,2014,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,50400.0,2014,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,130000.0,2014,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,136500.0,2014,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,53653.85,2014,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,133846.15,2014,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,144615.38,2014,5
